,class,samples
6060,walking,"[-19.962854 -4.0963194 2.116475 4.1419685 -2.7078420000000003
 4.256547288801936 4.262758038499589 -27.552473 -9.629957933333335
 5.755661 5.55814 -10.2711255 5.7378390230407 2.3242559907424676
 -10.673351 0.13646963333333317 31.636982 3.6954504999999997
 -0.8020575000000001 7.296299015730411 9.113125610609002]"
3146,running,"[-10.204087 5.028462200000001 20.585346 8.271966749999999 3.7924155
 6.65819716047379 -0.060136348204376855 -7.426813 8.951920166666666
 29.697678000000003 17.5662585 8.884882000000001 10.909192862828672
 -1.0722649222572236 -16.625335999999994 -1.5622962999999999 5.09965
 6.42962825 -0.720655 5.197590222789179 0.9131222892814956]"
2336,running,"[-0.684742 8.531817733333334 27.226862 8.80347875 5.810728
 7.7785076145009855 -0.025568971335770296 -11.765107 5.959008466666666
 19.057846 11.154586000000002 7.132326999999999 7.765258492013574
 -0.6035785343069353 -5.985504 3.045743933333333 12.938266 6.15429525
 2.516306 5.099934671835892 -0.6322739098428976]"
1516,running,"[-5.6311620000000016 5.426378366666667 25.79034 10.24838025 3.9240965
 7.752936813807996 -0.12287891158722042 -10.328587 7.9048561 30.755915
 16.27698025 7.285556 11.534209839187145 -0.8736451002088939 -13.01488
 2.5929206666666658 24.842237 10.481815000000001 2.9544455000000003
 8.96213174939551 0.11043348833307132]"
1063,running,"[-4.19943 9.659486566666667 39.188293 13.644555500000001 6.2488665
 11.381148320824604 -0.05622670070844693 -19.512741 7.4493193333333325
 30.83253 22.21579725 8.564059499999999 15.464096586706894
 -0.9322671584539326 -6.780378999999999 4.129199933333334 27.686548
 9.2571815 1.4437039999999999 8.469350829905434 0.8194367762721044]"
3628,idle,"[-0.871489 0.08347786666666666 1.096544 0.68833275 0.11492200000000001
 0.4610325666414274 -0.6545806799808025 3.615245 4.686889500000001
 6.698977 1.595735499999999 4.3239285 0.882186715129881
 -0.9315240232880857 7.498639999999999 8.511067866666666 9.399636
 0.8283942499999988 8.542512 0.5336834605041164 -0.9793492968950224]"
4464,walking,"[-6.789956 -1.1554416666666667 7.192182000000002 5.128379750000001
 -1.414973 3.3845817642252576 -0.3454738840738507 -25.201366
 -10.791784266666667 -2.959233 6.20218025 -10.30225 4.894059555820239
 0.662809582176163 -20.058622 -1.921267 6.66067 4.156335 0.7206545
 5.783231619261972 2.440249204195398]"
1328,running,"[-8.015787 3.0976183 18.009186 12.7778545 3.074155 6.793466310949175
 -0.9462190692613115 -10.807426 6.608794899999999 23.918076 9.8772795
 7.196970500000001 8.450733505555792 -0.22487451200758457
 -4.0749309999999985 1.6432206333333332 21.677105 5.44800625
 -0.038307499999999994 5.357266149250353 4.345298077657388]"
5130,walking,"[-13.484144 -3.538630066666667 3.040636 2.1236567500000003 -2.2720975
 4.090084256976475 0.2351711079935055 -24.301147 -10.473195900000002
 -2.513912 7.1287355 -10.761936500000001 5.220786970275148
 -0.2148014396536455 -18.631678 -1.866679166666667 22.936453 4.1515455
 -1.2378025 7.5339341503846455 3.230580785933527]"
1467,running,"[-24.454376 -5.210101933333333 4.5872910000000005 9.448716500000002
 -3.9240965 6.78398606977135 0.2864130469083146 -12.794614
 7.407021666666667 28.66817 8.025364499999998 7.299920999999999
 9.417694438157707 -0.06695195077309402 -8.288725999999999
 1.6571070000000003 20.173544 6.9659295000000006 1.7334019999999999
 5.679166557301519 1.985058722101976]"
