,class,samples
1590,running,"[-10.79785 5.7567783 34.323277000000004 12.473790750000001
 5.355829499999999 9.983850612018957 0.5031147829554286 -16.97489
 6.864335866666666 34.601 20.630836 5.4851165 14.815642379115188
 -0.8979815617268421 -14.925453 0.6207367666666671 15.107412 9.74679575
 -0.33279400000000003 7.190784591403304 -0.47567650847038534]"
1133,running,"[-25.134329 -5.042986733333334 14.393941 12.89397275 -3.9336735000000003
 9.622380035037613 -0.5867351408551058 -15.787366 9.426610833333333
 38.819588 22.63478275 8.0636715 15.775454262821121 -0.925226432048377
 -26.29791 -0.7883306999999999 25.081657 10.431537 -1.4867995
 8.508605633038675 2.850713664587242]"
3157,running,"[-6.8857240000000015 5.600197366666666 28.079197 11.007342750000001
 4.177882 8.774903514134605 -0.3658906140643765 -14.532804
 9.526049633333333 39.188293 24.92124575 9.4690675 15.66568924034545
 -0.8556013991892057 -9.270349 1.5902288 36.913803 12.190077500000001
 0.6919245 9.66487412379568 3.5685941834691493]"
2351,running,"[-25.46473 -5.010585266666666 8.413225 7.30231475 -4.288015
 7.814764712966517 0.9503465310065033 -7.915230999999999
 10.601365499999998 31.636982 12.474988000000002 10.5153335
 10.051210143261295 -0.5561948098312253 -12.799402 -0.6542554666666667
 14.192827 5.91966425 -0.7972690000000001 5.304554844720946
 1.1279574671198853]"
5000,walking,"[-14.839262 -4.167187733333333 -0.105345 5.092467000000001 -2.612074
 3.6864104565182556 0.4370539935142732 -19.814413 -9.964348133333335
 -3.217807 5.25048475 -10.1897225 3.7694761585635717 -0.12186017900413093
 -19.977219 -0.45697323333333334 15.873557 3.70023825 0.38307199999999997
 6.453674494020367 2.636946775151105]"
4567,walking,"[-6.789956 -1.1501744999999999 4.711789 3.51947625 -0.826
 2.9068525002656593 -0.4782064283502758 -19.34036 -9.746954733333332
 -2.959233 5.407305499999998 -9.9862155 3.873928952803763
 -0.4133921025510521 -20.058622 -1.8925366000000003 6.66067 3.74094075
 -0.8619125000000001 4.990148325673213 4.112311582424284]"
5349,walking,"[-13.484144 -3.1348080333333344 3.040636 2.1799205 -2.2888565
 3.8435676873890015 1.1901350744744201 -24.301147 -10.634724666666669
 -3.074155 6.953959000000001 -10.862493 5.124305618816312
 -0.20618851729570054 -18.631678 -1.5638924333333333 22.936453 3.394978
 -0.8259995 7.32892588127433 3.857022524890218]"
4535,walking,"[-6.789956 -0.8796296333333331 7.192182000000002 5.34385825
 -0.7805099999999999 3.4653235265344327 -0.5993061886676423 -25.201366
 -10.805989866666666 -2.959233 6.525397249999999 -10.30225
 4.867154633383436 0.6894481998760402 -20.058622 -1.5584656666666667
 6.66067 3.3818107500000005 0.833182 5.710710761031563 3.138161219610808]"
4063,idle,"[0.14844100000000002 0.2563392666666667 0.3304 0.03232099999999999
 0.258574 0.032798153320914604 2.398097632788767 -0.110133
 -0.027293866666666666 0.019154 0.033519 -0.026336 0.026921724088838656
 1.1722621873402597 9.734824 9.768343066666665 9.816227
 0.023941999999999908 9.763555 0.020012302794253565 -0.14352963946841912]"
4507,walking,"[-11.798626 0.1889824999999999 9.32781 8.6227175 -1.412579
 5.247170011712865 -0.7754072357883586 -27.983427 -10.649568633333333
 11.382035 8.31027425 -12.2966195 7.848361580318232 0.6749792817285543
 -25.292345 -0.7852979666666668 12.401965 7.1323272499999995 0.5267245
 7.050980514710179 3.103204129225256]"
6036,walking,"[-21.346703 -5.563007233333334 0.967258 7.5908165 -3.7253774999999996
 5.530875224691403 0.4217716233256463 -25.905262 -11.235988500000001
 7.5848309999999985 8.8824895 -11.413159 7.333555502226491
 0.26185551204437285 -17.659632000000006 -2.0650786666666665
 7.876924000000002 4.56574325 -1.367089 5.738457393168199
 1.7287162696743756]"
1003,running,"[-24.454376 -5.591418533333334 4.5872910000000005 9.430760000000001
 -4.575319 6.908941761294092 0.028356792734781422 -12.794614
 7.174464866666667 28.66817 10.63863525 7.228095 9.593212224340995
 -0.35073263799608423 -16.721106 1.555273566666667 20.173544 7.20056125
 2.0590135 6.759331980302978 1.4504867829995227]"
2628,running,"[-6.224924 8.084900033333334 36.16681 10.0376905 4.316746
 10.671005169459631 0.3008479543892091 -11.592725 6.9482927 32.158916
 8.306683249999999 8.195353 10.979364047864243 -0.2961797240000559
 -7.211335000000001 1.8347568 25.388115 8.26239075 -0.2657565
 6.6690535015445604 2.870617146877044]"
649,running,"[-5.348646 8.889351733333333 35.40066500000001 10.7367965 5.233725
 10.571438536844102 0.38257265896765213 -12.765883 7.901025166666665
 25.737667 16.63850525 9.782708 11.544124932987165 -1.0106804161366485
 -6.761225 1.7584614666666667 15.586253 7.089231750000001
 0.39983150000000006 5.691145571832503 0.09351109127771506]"
1368,running,"[-3.3279400000000003 7.8770832 27.308264 9.724049500000001 6.658275
 7.793731613251876 0.15247342935917407 -16.711529000000002
 6.496746133333333 25.201366 21.176713750000005 8.700529
 12.714684637271375 -1.0892395789160834 -6.354211 2.6719292 18.92377
 9.32661275 1.2473794999999999 6.5552502629462515 0.005719410120755164]"
1542,running,"[-5.932832 6.660030766666667 23.75527 9.40203 4.675875999999999
 8.16296813169303 -0.6550002056385402 -16.342821 8.433017033333334
 33.748670000000004 17.083826249999998 8.892065 13.104079278533048
 -0.6853097872558651 -4.563348 3.4846808 18.363527 6.779182
 1.7166424999999998 6.13571056716634 -0.3821599351483713]"
3769,idle,"[-0.124498 -0.09768323333333331 -0.062249 0.01915399999999999 -0.100556
 0.01522279815864642 -0.20824785257931655 0.177171 0.21946859999999999
 0.244209 0.016758999999999996 0.222661 0.016218683659286286
 0.8636418191730209 9.734824 9.768502633333332 9.792285
 0.019154000000000337 9.768343 0.014601767355319926 -0.509709411229442]"
4592,walking,"[-9.002198 -3.0656954 1.106121 4.7189715 -2.602497 2.8192494803070267
 -0.683623036422706 -21.35628 -9.817344233333335 -2.1547810000000003
 4.708197750000001 -9.234435999999999 4.398467549284309
 0.12015155580754078 -10.357317 -1.8847154666666666 2.863465 5.6922145
 -2.090138 3.6328537547985493 -0.44721192267346277]"
5225,walking,"[-15.638926 -4.529031433333334 5.932832 4.8326965 -3.8331169999999997
 4.208573818397428 0.716158597582027 -21.08813 -8.988950433333333 9.083601
 4.854244750000003 -10.249577500000001 6.1229420746224585
 2.0116001301569293 -13.278243 0.2791639666666665 20.51352 3.69545075
 -0.28491 6.913275757754584 2.2399264378835877]"
6055,walking,"[-16.462529999999994 -4.121857499999999 0.967258 3.6511577500000003
 -3.040636 3.4608852027130252 3.178013795552501 -16.481684
 -8.977298566666667 -1.163582 4.914098999999998 -8.614338
 3.7694940091739517 -0.6095420500808344 -22.965183 -0.8518569000000006
 17.472883 3.824737 -0.201113 5.830322677516625 7.245685100811123]"
3319,running,"[-6.560111999999998 6.423005000000001 24.966736 10.636241250000001
 5.9974755 7.730361393085984 -0.4460050203795909 -20.920534
 8.189446466666668 36.28173 17.61773225 10.9175595 15.279724599521916
 -0.6056439384759629 -16.462529999999994 -0.2976789666666665 15.140931
 4.960785749999999 0.1963245 6.1276145642579944 1.7549627539947448]"
5883,walking,"[-8.470686 -2.2017078000000003 2.226608 2.6922797499999995 -2.066196
 2.3018324264341428 0.4648674709069187 -20.556616 -9.175857599999999
 1.278504 5.707777250000002 -9.485827 5.0361951760313834
 -0.29316972114037343 -8.212111 -1.4805742333333336 2.911349 3.442862
 -0.6440400000000001 2.7003612801888033 -0.40554699225024615]"
1427,running,"[-8.963891 6.441041100000001 39.188293 11.184512999999999 5.5784905
 10.805611653306885 0.9775048309970429 -11.616667 8.815770100000002
 37.88585 17.12093625 8.748413000000003 12.983061360810172
 -0.6516055215686984 -7.752425 1.7626113666666672 25.124752 7.45315025
 -0.071826 7.221327076087107 2.2854644695939097]"
4437,idle,"[-2.044648 0.20494373333333332 1.225831 0.07781124999999994
 0.38546650000000005 0.5942180066946773 7.0014188177487 -0.095768
 1.1198480666666664 6.311116 0.1292865 -0.0167595 2.1261075463110504
 0.2877820923004406 5.655105000000002 9.288864333333334 9.782708
 0.5698205000000005 9.742007000000001 0.9198161497059915 5.963781238429588]"
5004,walking,"[-5.24809 1.4026831000000002 19.206285 5.991489749999999 0.2274495
 4.723330403073057 4.35865425851735 -29.515718 -11.097603566666665
 -0.311246 8.322246 -10.091559499999999 6.912355120963639
 -0.01761011001262336 -27.341784000000004 -2.109770433333333 17.975666
 6.151901 -0.5746085000000001 8.652372118035208 2.3273586627853353]"
2690,running,"[-7.206547 6.155173433333333 21.490355 9.3158385 4.1539405
 7.608517062260427 -0.6142741163575178 -14.623784 8.0689387 29.525295
 16.678009000000003 8.9160075 11.129918469594108 -0.6364658163603694
 -8.939949 2.3233333666666667 16.668432 10.3190095 1.805228
 6.643617000566552 -0.7401765622332723]"
5131,walking,"[-12.488156 -3.3183635 1.551443 2.9424735 -2.7198130000000003
 3.0892726355914886 1.0274762465621325 -18.842367000000007
 -11.08355766666667 -3.035848 5.4132915000000015 -12.2223995
 4.1591283785975195 -0.7732375623343568 -13.757082999999998
 -2.013523466666667 16.366761999999998 5.3654065 -0.964863
 5.655543721921801 2.228306484643218]"
6033,walking,"[-9.212888 -3.2107839000000005 3.74932 4.648343000000001 -2.456451
 2.968914736990924 -0.4795769226014719 -15.160085 -7.517154666666667
 6.770803 8.238448 -9.165004 5.915547613229989 -0.3428790063327578
 -17.142485 -0.9171389333333332 34.261024 3.852270500000001 -1.0989385
 8.176700212948154 9.30360722637668]"
2499,running,"[-25.22052 -5.6552639 4.5872910000000005 8.06367125 -4.156334
 7.595654104220255 0.48505578009361905 -12.794614 6.9805346 28.66817
 10.898406999999999 7.228095 10.298471593112044 -0.5563959796239226
 -16.721106 0.8208921333333336 20.173544 6.43800875 1.2641390000000001
 6.707098364233048 1.7520309508378809]"
938,running,"[-6.315904 6.2715317 23.75527 13.4985095 4.647145999999999
 8.217226726903078 -0.896795543339659 -16.342821 7.0226723333333325
 30.028078000000004 17.360356 7.5489180000000005 12.344239575323298
 -0.8350962806370492 -7.292738000000001 1.6454551 17.51598 6.615179
 0.306458 5.4716940172672075 0.8671744334495166]"
1323,running,"[-8.5473 3.9266506999999993 28.629864 9.99459475 3.181894
 8.636290658843075 0.809123316374103 -14.877569 6.7170128 31.924286
 12.0787475 6.0956375000000005 11.448575666294177 -0.2729962312414438
 -6.971914999999999 3.091393366666667 35.98964 7.376535 1.292869
 8.311295127852034 5.892548029158528]"
4104,idle,"[-0.162806 -0.100716 0.023942 0.017956749999999994 -0.105345
 0.03687352173850499 5.453125861527086 0.177171 0.22521463333333333
 0.282516 0.01915399999999995 0.225055 0.02446259719855782
 0.2586880478381164 9.701305 9.766268033333336 9.811439
 0.02753300000000003 9.768343 0.02168691434249897 1.0540402578973458]"
2143,running,"[-5.430049 6.334419233333332 24.449587 11.31260325 5.906496000000001
 8.74232812199699 -0.39644486715482863 -11.123461 9.8001063 37.746983
 20.67512975 8.118738 13.046848837770767 -0.77440130343513 -5.492298
 1.4686034666666667 18.794483 8.27196725 -0.23942000000000002
 5.848362749310635 0.5966702332747236]"
5609,walking,"[-17.266985000000002 -4.286419033333333 6.588842999999999
 6.0752862499999996 -2.9281085 5.381433195687815 0.2990088021970996
 -21.327547 -10.617486299999998 4.620809 7.830236999999997 -11.8058085
 5.925232301874254 -0.018646685259386953 -23.659502 -1.0529698666666667
 31.76148 2.33674125 -1.01993 7.952120686669821 9.010366980986738]"
3877,idle,"[0.14844100000000002 0.26192573333333335 0.4309560000000001
 0.04070074999999998 0.263362 0.054162586012814755 2.35593800684942
 -0.062249 -0.017397766666666665 0.033519 0.04788375 -0.014365
 0.026617235915453147 -0.9754616466528012 9.696517 9.762756566666665
 9.792285 0.03112475000000181 9.763555 0.020654356698903795
 1.4018151040731395]"
3401,running,"[-5.295974 7.4148427 27.087997 10.819397500000001 6.1483105
 8.779274583565293 -0.43755284912113535 -10.371682 8.673714100000002
 29.836542 25.79632675 6.1507045 12.681984801435604 -1.2820897862699532
 -9.667787 0.46048493333333307 12.014104 8.422802 -0.5482720000000001
 5.636467463158924 -0.8302144947137626]"
678,running,"[-3.275268 6.4105550000000004 22.357056 10.554837749999999 4.2425255
 7.568575934792538 -0.723693375956048 -8.872911 8.015149 29.525295
 15.95855125 8.980651 10.570029100100477 -0.6547606304026661 -8.939949
 1.4234328 16.668432 8.377312 0.37110099999999996 6.5255695059946675
 -0.425532929819318]"
3030,running,"[-10.304645 3.6399847333333333 21.662737 10.991779750000003 4.6591165
 8.017699424887345 -0.4722702309839639 -13.55597 8.1730067 25.594019
 11.12346075 7.699753000000001 10.499094475122327 -0.4467778459400513
 -9.294291 2.9472625 28.61071 5.870583 0.7110780000000001
 7.707195688199904 2.157358749699381]"
3673,idle,"[0.134075 0.24436823333333332 0.301669 0.02633599999999997 0.244209
 0.031019701558507758 3.3814123360485793 -0.124498 -0.0266553 0.02873
 0.04070175 -0.021548 0.032185367547121986 1.358798433826335 9.720459
 9.761479600000001 9.797073 0.026335749999999436 9.761160499999999
 0.018737319035550253 -0.3861493350335974]"
4520,walking,"[-10.836157 -3.1796594 10.457873 4.25329925 -3.394978 4.2099296328684686
 1.880694041094901 -15.80652 -9.055509233333334 13.895947 6.08366725
 -8.947131500000001 5.74368661609918 5.942912137670321 -20.025103
 -1.7723476333333332 27.241226 4.7536872500000005 -1.1180925
 7.451650617640294 6.320800011403472]"
3225,running,"[-6.8857240000000015 6.087976066666667 34.49566 11.553220750000001
 3.4380735000000002 9.99764503752087 0.6027250662261929 -14.532804
 9.516153666666668 39.188293 24.3119215 9.114725499999999
 15.513102953030092 -0.7611859253715174 -10.16578 0.19568613333333337
 15.998055 10.686518750000001 0.20350700000000005 7.41940413080129
 -0.8318634948198302]"
1791,running,"[-9.313444 10.536402866666664 39.188293 21.6124585 7.192181999999999
 15.507957236125273 -0.8173719318367563 -13.52724 8.791668333333332
 39.188293 13.327323250000001 9.179369 12.96508080099531
 -0.3142258599941159 -11.602302 0.6919243999999999 17.439365
 9.133879499999999 -0.4955995 8.094382004549812 -0.677378927399582]"
1895,running,"[-6.344633999999999 9.617508433333334 28.31383 10.5273045 8.9902275
 8.953269094225819 -0.5227968945406016 -15.160085 8.616253133333334
 28.797459000000003 18.70110975 8.432378 12.566197420360401
 -0.8717282514793689 -7.8242509999999985 2.1179109333333335 20.211851
 6.405687 1.42455 6.138817818137702 1.9105230835433602]"
1264,running,"[-27.715279 -4.404054200000001 7.742849 5.4527945 -2.5474305
 8.081214012438169 1.6564197275906603 -7.747636999999999
 10.092837166666667 31.636982 17.166427249999998 10.2112705
 10.740492508008218 -0.893415315477712 -5.683835 1.6140112000000002
 16.136919 5.941211750000001 -0.07182600000000003 5.7949349356131075
 0.42422911021496734]"
2389,running,"[-8.820239 4.795586133333333 22.697033 10.876859000000001 4.1443635
 8.754008093873718 -0.692243313981324 -16.529567999999998
 6.928500400000001 28.232426 17.4764755 6.7013705 12.178793670860184
 -0.784314867039773 -12.378023 2.630748966666666 23.118412 9.08599525
 1.2904745 7.272841482035621 0.7302094843598406]"
3610,idle,"[0.134075 0.23830289999999998 0.282516 0.02394199999999999 0.244209
 0.026965249447328803 5.173433113663041 -0.095768 -0.0213881 0.023942
 0.023941999999999998 -0.0167595 0.024719059943492994 1.2900932600042667
 9.720459 9.7635545 9.797073 0.01915299999999931 9.768343
 0.017397053255747898 0.1772269973359042]"
2317,running,"[-4.371812 8.250738333333336 34.34243 10.817003499999998 4.941632499999999
 10.410202943327999 -0.07536742657503215 -15.514427 6.294675566666667
 28.064833 17.982849 7.649474000000001 11.30901387617228
 -0.8115251350884436 -6.009446 2.6246835333333327 27.35136 10.45907
 -0.5482720000000001 7.400828865300574 1.9081774543204792]"
3426,idle,"[0.134075 0.241974 0.292093 0.02274474999999998 0.244209
 0.0295626141672214 3.8210848229083654 -0.124498 -0.0266553 0.023942
 0.031124749999999996 -0.021548 0.03153771138087438 1.6181021121021182
 9.720459 9.763394899999998 9.797073 0.01915299999999931 9.765948999999999
 0.018022100897416522 0.020470167660836314]"
3463,idle,"[-3.825934 0.28076003333333327 7.637503999999999 0.5638350000000001
 0.1388635 1.6666146816921115 10.967900258189173 -2.001553
 4.838522233333333 7.6614460000000015 1.0905590000000007 5.243302
 2.4165542552771386 1.4899363567889514 -0.296881 7.698156766666667
 9.955091 1.3527245000000008 7.8218575 1.7784207509823744
 10.931286224906422]"
739,running,"[-6.38773 5.928362833333334 22.73055 10.852915500000002 4.707001
 8.005302212640748 -0.6155226719651861 -16.893488 8.270211300000001
 33.274615999999995 10.12627575 7.728483000000001 12.217289879241022
 -0.4402501895627484 -14.030022 -0.30166923333333356 15.217546
 7.550114999999999 -1.474828 5.7655141523114875 0.5749121170062246]"
3992,idle,"[-10.448297 -0.3024673333333333 0.54109 0.04788400000000004
 0.24660300000000002 2.001846052134718 19.079676362217427 -1.996764
 0.8418013666666667 5.995081 0.05626375 -0.009577 2.0655852321616988
 1.2369638541746424 4.553772 9.246566633333334 9.816227
 0.06344625000000015 9.768343 1.1997031621678333 6.616417117782033]"
769,running,"[-4.443638 6.036580666666666 28.64423 9.903615499999999 3.8259345
 8.181821478150288 0.9217034422957742 -11.990162 9.081366599999999
 28.926744 14.275426749999998 8.9950155 11.46383391610165
 -0.7451521343368404 -7.225700999999999 1.5080278999999999 12.617443
 7.432798999999999 0.342371 4.785536966957141 -0.5556890780503223]"
4508,walking,"[-20.676327 -4.566540633333333 9.701305 8.371326 -3.2489315000000003
 6.312100167320062 0.19882270417706316 -26.479872 -11.251630566666668
 1.249773 6.58644875 -11.6573675 6.5927837923836075 0.464272183034633
 -21.265299 -0.9174577999999995 33.92105 7.9056542499999995
 -1.6017204999999999 9.890961844195955 3.608229982959406]"
6256,walking,"[-7.943961 -1.8615713999999999 4.97994 5.4384292499999995 -1.8746595
 3.513430047934986 -0.85180013694271 -26.824636 -10.716925533333333
 -1.991976 8.699332250000001 -11.264719 6.150979165141758
 -0.04555288372919408 -8.48984 -1.8695521666666663 4.869807
 5.791573250000001 -1.4077905 3.385181056749521 -0.8316130471783354]"
4998,walking,"[-11.669339 -0.1289675333333334 6.359 6.30513 -0.040701500000000015
 4.316420197293823 -0.08752048317279026 -22.443247 -8.831731133333333
 0.383072 7.4411795000000005 -8.319850499999998 5.688392554537001
 -0.3274431203439052 -16.223110000000002 0.26447966666666667 32.95858
 7.771578750000001 -1.5251065 8.885592844467052 4.445123876847664]"
1934,running,"[-5.449203 4.620649866666667 20.772095 9.2619695 4.129998
 6.853232292028493 -0.5079914975629047 -14.255076999999998
 7.730558166666667 32.460587 20.21304825 8.4060425 12.831249974778938
 -0.7972425591412051 -6.981492 3.4642503000000002 33.930622 7.735666
 1.659182 8.458576813187964 3.5737358088116755]"
5037,walking,"[-2.964022 2.6393681 12.363658 5.331888000000001 2.516306
 3.722329327109584 -0.39832234419492263 -20.9349 -10.323797733333333
 -2.15957 4.68425525 -10.500969000000001 4.70786720799421
 -0.17216461319071508 -21.44247 -1.2441868333333335 19.589357
 2.6108770000000003 -0.9696515 6.436177794272375 5.070038278346603]"
953,running,"[-6.253655 6.487329 25.55571 13.93664825 6.0381765000000005
 9.304102799775768 -0.7927684389953336 -16.309301 7.214049133333331
 29.865273 13.24233025 6.876147499999999 12.12231315821424
 -0.5094614968622917 -11.271901 3.708618633333333 30.13821 11.2276095
 0.4908115 9.914746918450598 0.6629762403485668]"
5622,walking,"[-8.197746 0.8087614999999999 9.169792 6.85938775 1.479617
 4.6365654914918775 -0.8799272740211475 -32.996887 -9.818940166666668
 5.272033 8.65743375 -10.4698435 7.539576493155554 1.2328805225753667
 -12.397177 -1.4173673666666669 9.107543 6.1195794999999995 -1.036689
 5.482264313987481 -0.5246635526607495]"
570,running,"[-22.031445 -4.609157499999999 5.104438 8.0469115 -3.038242
 6.12811827726763 0.4815612505446425 -6.9671270000000005 9.735622266666665
 26.580427 10.024521499999999 9.2751375 9.297763120748288
 -0.6156988664207033 -9.318233 -0.46559233333333333 8.020576 3.87621275
 -0.12928699999999999 4.033825730394513 -0.15602809232129866]"
802,running,"[-9.605537 4.556964100000001 38.54186 9.810241750000001 3.7780499999999995
 9.62821263200361 2.976618323432703 -12.713211 8.976181566666668 32.470165
 19.583372750000002 6.313510000000001 12.150472648991965
 -0.9142270020274093 -10.7356 2.761951033333333 19.64203 9.412804000000001
 0.629675 7.597376889664347 -0.3016847962598366]"
4829,walking,"[-10.453085 -0.24516613333333329 8.279149 5.32111325 -0.754173
 4.526389198759026 -0.18475251182047048 -27.753586 -11.849542633333334
 8.954314 7.3681564999999996 -12.629414 7.585985242404823
 0.4776750906824119 -20.87744 -1.562296333333333 15.05474
 7.851784499999999 -0.07422000000000001 7.548659883422975
 0.9346177814772494]"
2871,running,"[-7.096413 7.043262799999999 24.966736 15.98967625 5.736508000000001
 8.89528779484343 -1.0572336651522938 -20.920534 9.323021266666668
 36.28173 28.506562000000002 10.249577500000001 17.51337464151023
 -1.1436079876412477 -16.462529999999994 0.27836596666666685 16.582241
 6.575675 0.521936 6.882459018296247 0.8833586212588083]"
4884,walking,"[-16.050728 -4.3303126333333335 2.456451 3.931279 -3.8163575
 4.787846348878129 -0.19588999729828682 -19.139248 -9.462523366666666
 -1.13964 7.449558249999999 -8.4802625 5.349329444760932
 -1.139391211910559 -19.9437 -1.6162456666666665 17.78892
 4.4328639999999995 -1.2090715 7.861533128622044 1.3616073557195376]"
2898,running,"[-39.188293 -5.880318833333333 5.530606 8.987833250000001 -3.9528265
 9.46457491113116 3.1333099733044767 -9.543288 7.363128033333331 29.415161
 14.311339999999998 6.531382 10.380910807125552 -0.7775596617767677
 -6.679823 2.4077689333333336 15.313314000000002 6.82227775 0.1819595
 6.043959724967118 -0.6269425038800414]"
2205,running,"[-6.038176 5.134285866666667 30.65057 8.675389499999998 3.9169140000000002
 8.807293023543972 0.6379462454689948 -13.876793 7.806534133333333
 24.95716 12.913126249999998 7.4579385 10.978227514772021
 -0.7536244373429639 -8.590396 1.641464733333333 17.990032 8.30788
 1.0965445 6.046086982668592 0.07824597448750703]"
3421,idle,"[-0.90022 0.04341470000000001 0.679953 0.42377375 0.143652
 0.33619670394657847 0.46844549245859035 4.582502 5.765876366666668
 6.6941880000000005 1.0007762500000004 5.753267000000001
 0.5522985947233907 -0.9754236873588398 6.023812 7.741571633333334
 9.792285 1.0905579999999988 7.829040000000001 0.7488680434779095
 0.6605652256266423]"
903,running,"[-6.344633999999999 4.832616466666667 30.497341 7.37414175 4.3933605
 7.32879510600864 3.0345785422224436 -14.901511 7.968701333333334
 30.784645 17.58780625 7.302315500000001 12.969244763736214
 -0.8646275857643553 -16.634912 1.9539878666666666 22.280441
 10.017339499999999 1.2832925 8.349600435000683 0.08566060736821068]"
6177,walking,"[-14.973337 -4.065673533333333 2.60968 3.3243487500000004 -3.406949
 4.10710919828702 0.33822256361419534 -22.471977 -10.588596366666668
 -1.537077 4.9392385 -10.879252000000001 4.308116213680278
 0.5692425509018517 -13.302185 -1.9589357333333333 5.31034
 3.5266587499999993 -0.799663 4.4554376471644765 0.8973381584837412]"
856,running,"[-8.475474 4.8019706666666675 20.776882 10.717644 3.2656915
 8.040937864316428 -0.9047078883700141 -16.108189000000007
 9.336748166666666 34.380737 24.149114750000003 14.2047985
 14.975670450093482 -0.9479742836769214 -39.188293 0.33806149999999985
 17.30529 10.20528475 -0.6727705 10.492977991794703 4.491182720838264]"
2464,running,"[-4.788403 6.422845266666667 30.11427 15.006856 2.269703
 10.229034626025964 -0.56499813966261 -11.880029 9.9434389 33.988087
 13.205219 9.528922999999999 12.265578522895312 -0.6125494134599818
 -6.349423000000002 0.8277554666666667 13.345281 6.758831499999999
 0.38546650000000005 4.245817850636009 0.5079905371639488]"
5093,walking,"[-10.749966 -3.855302966666667 4.716578 4.617218 -3.1052795
 3.28555246816456 0.08274809676330142 -16.151285 -9.101637533333331
 7.7859440000000015 6.537367499999999 -11.121067 5.722030988676217
 1.5398378002140705 -22.093693 -1.8100163333333334 15.638926 4.0294415
 -2.0997145 6.969998300732889 2.1649928687509004]"
4778,walking,"[-8.714894000000001 -2.7368916999999997 3.615245 3.1124617499999996
 -2.731784 3.0359837842915014 -0.1445781188184494 -16.481684
 -9.034599733333334 3.5003230000000003 4.602852750000001 -9.4882215
 4.350179406234797 0.634899003365001 -9.935937 0.09209699999999975
 23.54458 3.15555725 -1.3192050000000002 6.04496764905794
 7.139260521643905]"
1867,running,"[-5.463568 5.010106566666666 32.082302 8.380903000000002
 3.8594530000000002 8.379192847509218 1.79641757567604 -12.617443
 8.950643333333334 29.697678000000003 19.75336125 6.617573500000001
 11.768640206746559 -0.8864275354835378 -22.026655 -0.0336783000000003
 15.80652 9.886855749999999 -1.6783350000000001 7.860769835035998
 0.6484958866080222]"
1135,running,"[-6.847417 5.6988388000000025 28.629864 7.37653525 3.064578
 9.159619881134512 0.0351812714542592 -11.693281 8.088411433333333
 29.745562 14.425065749999998 7.6925704999999995 12.382843696933387
 -0.8914996952166794 -18.957289000000006 -0.5329491000000002 11.942278
 7.078457749999998 0.004788500000000084 5.915535898243537
 1.600790550358271]"
780,running,"[-22.031445 -3.981557466666667 5.104438 8.2851345 -2.6072855
 5.932024063748976 1.0349464573268445 -6.9671270000000005 8.9678816
 26.580427 7.3023145 8.3102745 8.974895389450444 -0.40786160645520697
 -9.318233 -0.19967636666666658 8.020576 4.126407 -0.11252749999999999
 4.065132870427808 -0.16100565439537062]"
2347,running,"[-4.673482 5.476337466666666 22.041021 7.534552749999999 4.211401
 5.895098949944667 0.638200277064183 -12.406754 6.561070366666668 23.9899
 14.417883250000001 7.213730000000001 9.204286995691177 -0.865682265869343
 -9.433155 1.2722789666666672 15.26543 4.5310267500000005 1.1923125
 4.7268356795850615 1.4804197453075068]"
571,running,"[-4.022259 8.544107933333333 33.159695 10.536881500000002
 6.892906999999999 9.131287768504718 0.7341775373035127 -19.756952
 6.022694233333332 25.373749 13.308169750000001 8.429984999999999
 10.85458760804641 -0.2557205812248049 -5.2241480000000005
 1.8211894666666668 26.068068 5.171475750000001 0.344765 6.682790060975289
 4.485689229415872]"
2113,running,"[-6.995857000000001 4.705085366666666 28.625076 13.182474249999999 2.23379
 9.734307300715747 -0.03978955734999401 -11.085154 7.800788033333335
 26.561274 12.477382000000002 7.280767499999999 9.186323078480815
 -0.5041980782996727 -5.942408 1.694456466666667 17.348385 6.9395935
 0.42137949999999996 5.295521402763513 0.7141038289122448]"
5496,walking,"[-11.420342 -3.5450144333333333 3.122039 4.266467250000001 -3.205836
 3.1735267390419515 -0.17671394900180415 -15.691598 -9.289821733333335
 5.6982 5.165490749999998 -9.9862155 4.528708957844409 1.8606696785593169
 -13.244724 -0.5315127333333332 18.938135 4.91529575 -0.617704
 5.431148348855553 3.9882967963377842]"
1442,running,"[-9.461885 5.076824966666666 27.56205 13.42907725 2.3319525
 9.909619243182519 -0.4523685423569055 -13.244724 6.995697833333335
 26.834213 14.674062 5.1403514999999995 11.741400654624504
 -0.8760194848901643 -8.920795 1.3295801000000003 25.019407 10.699688
 -0.356736 7.847504615572904 0.8389483227611385]"
6021,walking,"[-16.883910999999998 -4.073973566666667 2.111686 6.0214165
 -2.2194244999999997 4.694317200887251 0.5294513027471082 -24.104822
 -10.675106933333334 8.140286 6.1183825 -11.5951185 6.315002978388608
 1.253742039976932 -18.780119 -1.7378710666666666 13.254301000000002
 4.9248725 -1.233014 6.400849704434639 1.4533750186813856]"
2847,running,"[-23.39135 -1.8569427 16.342821 8.991424499999999 -2.059013
 7.208616101274193 1.5352247840876894 -13.057976 9.0245445 26.293123
 8.283936999999998 9.4977985 9.581433422964675 -0.14083742526613108
 -15.380351999999998 -0.8847371666666665 16.481684 8.7627785
 -0.28730449999999996 6.8059338020688145 0.09904825340855394]"
